,index,mc_type,k,feat,noise,sep,p_val_2,p_val_3,p_val_4,p_val_5,p_val_6,Sums,acc,Total,only
0,hubers,min_max,2,10,0,0.5,0,0,0,0,0,0,,,0
1,norm,min_max,2,10,0,0.5,0,0,0,0,0,0,,,0
2,tss,min_max,2,10,0,0.5,0,0,0,0,0,0,,,0
3,hubers,random_order,2,10,0,0.5,1,0,0,0,0,1,tp,1,1
4,norm,random_order,2,10,0,0.5,0,0,0,0,0,0,,,0
5,tss,random_order,2,10,0,0.5,0,0,0,0,0,0,,,0
6,hubers,pca_trans,2,10,0,0.5,0,0,0,0,0,0,,,0
7,norm,pca_trans,2,10,0,0.5,0,0,0,0,0,0,,,0
8,tss,pca_trans,2,10,0,0.5,0,0,0,0,0,0,,,0
9,hubers,min_max,2,10,0,1,0,0,0,0,0,0,,,0
10,norm,min_max,2,10,0,1,1,1,1,1,1,12,tp,1,0
11,tss,min_max,2,10,0,1,0,0,0,0,0,0,,,0
12,hubers,random_order,2,10,0,1,1,0,0,1,1,6,tp,1,0
13,norm,random_order,2,10,0,1,1,1,1,1,1,7,tp,1,0
14,tss,random_order,2,10,0,1,0,0,0,0,0,0,,,0
15,hubers,pca_trans,2,10,0,1,0,0,0,0,0,0,,,0
16,norm,pca_trans,2,10,0,1,0,1,1,1,1,5,,,0
17,tss,pca_trans,2,10,0,1,0,0,0,0,0,0,,,0
18,hubers,min_max,2,10,0,3,0,0,0,0,0,0,,,0
19,norm,min_max,2,10,0,3,1,1,0,0,0,12,tp,1,0
20,tss,min_max,2,10,0,3,0,0,0,0,0,0,,,0
21,hubers,random_order,2,10,0,3,1,1,1,0,0,13,tp,1,0
22,norm,random_order,2,10,0,3,1,1,0,0,0,12,tp,1,0
23,tss,random_order,2,10,0,3,0,0,0,0,0,0,,,0
24,hubers,pca_trans,2,10,0,3,1,0,0,0,0,3,tp,1,3
25,norm,pca_trans,2,10,0,3,1,1,1,1,1,15,tp,1,0
26,tss,pca_trans,2,10,0,3,0,0,0,0,0,0,,,0
81,hubers,min_max,2,10,0.1,0.5,0,0,0,0,0,0,,,0
82,norm,min_max,2,10,0.1,0.5,0,0,0,1,1,2,,,0
83,tss,min_max,2,10,0.1,0.5,0,0,0,0,0,0,,,0
84,hubers,random_order,2,10,0.1,0.5,1,0,0,0,0,2,tp,1,2
85,norm,random_order,2,10,0.1,0.5,0,0,0,0,0,0,,,0
86,tss,random_order,2,10,0.1,0.5,0,0,0,0,0,0,,,0
87,hubers,pca_trans,2,10,0.1,0.5,0,0,0,0,0,0,,,0
88,norm,pca_trans,2,10,0.1,0.5,0,0,0,0,0,0,,,0
89,tss,pca_trans,2,10,0.1,0.5,0,0,0,0,0,0,,,0
90,hubers,min_max,2,10,0.1,1,0,0,0,0,0,0,,,0
91,norm,min_max,2,10,0.1,1,0,0,0,1,1,4,,,0
92,tss,min_max,2,10,0.1,1,0,0,0,0,0,0,,,0
93,hubers,random_order,2,10,0.1,1,1,0,1,0,0,5,tp,1,1
94,norm,random_order,2,10,0.1,1,0,0,0,0,0,0,,,0
95,tss,random_order,2,10,0.1,1,0,0,0,0,0,0,,,0
96,hubers,pca_trans,2,10,0.1,1,0,0,0,0,0,0,,,0
97,norm,pca_trans,2,10,0.1,1,0,0,0,0,0,0,,,0
98,tss,pca_trans,2,10,0.1,1,0,0,0,0,0,0,,,0
99,hubers,min_max,2,10,0.1,3,0,0,0,0,0,0,,,0
100,norm,min_max,2,10,0.1,3,0,0,0,0,0,9,,,1
101,tss,min_max,2,10,0.1,3,0,0,0,0,0,0,,,0
102,hubers,random_order,2,10,0.1,3,1,1,1,0,0,13,tp,1,0
103,norm,random_order,2,10,0.1,3,0,0,0,0,0,9,,,0
104,tss,random_order,2,10,0.1,3,0,0,0,0,0,0,,,0
105,hubers,pca_trans,2,10,0.1,3,1,0,0,0,0,3,tp,1,3
106,norm,pca_trans,2,10,0.1,3,1,1,0,0,0,12,tp,1,0
107,tss,pca_trans,2,10,0.1,3,0,0,0,0,0,0,,,0
162,hubers,min_max,2,10,0.5,0.5,0,0,0,0,0,0,,,0
163,norm,min_max,2,10,0.5,0.5,0,0,0,0,0,0,,,0
164,tss,min_max,2,10,0.5,0.5,0,0,0,0,0,0,,,0
165,hubers,random_order,2,10,0.5,0.5,1,1,0,0,0,6,tp,1,0
166,norm,random_order,2,10,0.5,0.5,0,0,0,0,0,0,,,0
167,tss,random_order,2,10,0.5,0.5,0,0,0,0,0,0,,,0
168,hubers,pca_trans,2,10,0.5,0.5,0,0,0,0,0,0,,,0
169,norm,pca_trans,2,10,0.5,0.5,0,0,0,0,0,0,,,0
170,tss,pca_trans,2,10,0.5,0.5,0,0,0,0,0,0,,,0
171,hubers,min_max,2,10,0.5,1,0,0,0,0,0,0,,,0
172,norm,min_max,2,10,0.5,1,0,0,0,0,0,0,,,0
173,tss,min_max,2,10,0.5,1,0,0,0,0,0,0,,,0
174,hubers,random_order,2,10,0.5,1,1,0,0,0,0,3,tp,1,1
175,norm,random_order,2,10,0.5,1,0,0,0,0,0,0,,,0
176,tss,random_order,2,10,0.5,1,0,0,0,0,0,0,,,0
177,hubers,pca_trans,2,10,0.5,1,0,0,0,0,0,0,,,0
178,norm,pca_trans,2,10,0.5,1,0,0,0,0,0,0,,,0
179,tss,pca_trans,2,10,0.5,1,0,0,0,0,0,0,,,0
180,hubers,min_max,2,10,0.5,3,0,0,0,0,0,1,,,1
181,norm,min_max,2,10,0.5,3,0,0,0,0,0,3,,,1
182,tss,min_max,2,10,0.5,3,0,0,0,0,0,0,,,0
183,hubers,random_order,2,10,0.5,3,1,1,1,0,0,10,tp,1,0
184,norm,random_order,2,10,0.5,3,0,0,0,0,0,3,,,0
185,tss,random_order,2,10,0.5,3,0,0,0,0,0,0,,,0
186,hubers,pca_trans,2,10,0.5,3,1,0,0,0,0,2,tp,1,2
187,norm,pca_trans,2,10,0.5,3,1,1,1,1,1,15,tp,1,0
188,tss,pca_trans,2,10,0.5,3,0,0,0,0,0,0,,,0
